Nom entreprise,Substance,Adresse Physique,Téléphone,Email
"ASSOCIATION NATIONALE DES MARCHANDS D'OR 
COLLECTEURS REVENDEURS (ANMO/CRV)",,"SANDAGA, RUE PAUL HOLL, DAKAR, Sénégal",77 541 03 54,
ASTRON LIMITED,,"8 ROUTE DU MERIDIEN, APPT 5, ALMADIES, DAKAR, 
Sénégal",,
ATIC SARL,or,"N°18, Cité SONATEL, Dakar, Sénégal",,
AXIOM RESOURCES,,"57, Sipres Al Azhar, Rufisque, DAKAR, BP 257 - RUFISQUE, 
Sénégal",33 836 60 31,"axiome.developpement@gmail.
com"
AXIOME DEVELOPPEMENT,,"Place Gaston Berlin gard, Keury Souf, Rufisque, BP 257, 
Sénégal",33 820 34 83/77 642 00 94,
AXMIN LIMITED,,"125 B. Rue Carnot, Dakar-Ponty, BP 21990, Sénégal",33 842 53 52,axmin@sentoo.sn
AZ SERVICES SARL,,"HLM , Fass Paillote, Dakar, Sénégal",77 626 50 10,
BAFOUNDOU RESOURCES SARL,,"Route du Méridien Président contiguë SGBS, Quartier des 
Almadies, Dakar, BP 16998, Sénégal",33 859 60 80,
BAKHOUME BUSINESS COMPANY,,,775671456,
BAMBA INVESTMENT SARL,,"Quartier Hersent , Thiès, Sénégal",775240123,
BAMBADJI SA,"or, cuivre","67, Avenue André Peytavain, DAKAR, Sénégal",338491780/77 638 57 48,
BAMBUK MINERALS,or,"Zone 9, Villa Kandia, Route du Méridien Président, 
Almadies, DAKAR, Sénégal",33 868 30 57,
BANDAFASSI SARL,,"Yoff Cité Biagui N°6, Dakar, BP 30164 RP, Sénégal",33 820 08 36/77 649 53 64,
BANDESERVICES,,"Quartier Dande Mayo, Dimboli, Fongolimbi, Kédougou",,bandenanke@yahoo.fr
BAOBAB MINERALS SARL,,"Liberté VI Nord, Villa N°22907, Dakar, Sénégal",,
BAOBAB MINING AND CHEMICAL CORP SA,,"Lot 50 Bis Sotrac Mermoz , Dakar, 14065 Dakar Peytavin, 
Sénégal",33 860 20 03,atlasressources@orange.sn
BASMALA INTERNATIONAL SARL,,"Gomba, Kédougou, Sénégal",+221 77 439 14 41,
BATI SOLAR,,"Saly, Mbour, Thies, Thies, 778, Sénégal",77 710 40 30,
"BATIMENTS EBENISTERIE CONSTRUCTION 
METALLIQUE ET COMMERCE GENERAL",,"Lot n° 13, 1er étage Léopold Sédar Senghor, Cité Keur 
Damel, Dakar, Sénégal",33 820 69 28,
BB FIRST COMMODITY HOLDING LTD,or,"Villa n°9569, Rue SC 86, Sacré Coeur 3, DAKAR, Sénégal",33 867 60 76,harmony@orange.sn
BEE ENGINEERING SARL,silicium,"SUD FOIRE, Lot n°333 Cices, Dakar, Sénégal",33 867 78 09,
BETA TRADE & CONTRACTING SARL,,"01, Rue Parent, Dakar, Sénégal",338229059/77 795 60 70,"betatrade.contracting17@gmail.
com"
BETAMINES SA,,"CITE KEUR GORGUI IMMEUBLE JOJO FARY APPT 1A N°86, 
DAKAR, Sénégal",338691200/77 784 00 41,
BETON DU SENEGAL SARL,silicium,"Unité 24, Parcelles Assainies, Dakar, Dakar, Sénégal",78 152 36 36,betondusenegal@gmail.com
BHAIRAVA AGRICOL SARL,,"140 BOULEVARD DRS 54 METRES, LOT N° 281 
SANTHIABA, ZIGUINCHOR, Sénégal",776024014,
BIGSAM OR SARL,,"Quartier Dinguessou, Kédougou, Sénégal",78 608 52 17,
BINIA RESOURCES,,"Route du Méridien Président contiguë SGBS, Almadies, 
Dakar, BP 16998, Sénégal",33 859 60 80,
BIRAICHA SUARL,,"9 Avenue Faidherbe , Dakar, Sénégal",77 638 81 25,
BIRIMIAN RESSOURCES SARL,,"Villa n°18 bis, Liberté 6 extension, Dakar, Sénégal",,
BISCUITERIE MODERNE DU SENEGAL,,"Km 20, Route de Rufisque, Grand Mbao",33 870 05 03,
BOKAMINE SARL,,"Dieuppeul 4, N°2891C, Dakar, BP 47317, Sénégal",77 658 11 29,sadioknd51@gmail.com
BONDOU S.A.U,,"Rue F x 2 BIS, Point E, DAKAR, Sénégal",774215849,"rokhayas@chesserrsources.com
.au"
BOUFAN SUARL,,"3 X 8 Médina, Dakar, Sénégal",77 443 62 57,
BOYA SA,or; cuivre,"VILLA 21, OUEST FOIRE, DAKAR, BP 29722, Sénégal",77 436 26 00,milandiao@mac.com
BSM LA BETONNIERE SARL,,"Route du Front de Terre, BP 13118, Sénégal",33 824 50 05,
BSTRATEXO SARL,,"1747, Route de OUAKAM, Dakar, Sénégal",33 824 68 40,
BUISINESS E IVESTOR GRUPO INVERSOR,,"SL RI B64518384C, Paris 1°2, Barcelona, Espagne",,
BUL FAALE PRODUCTION,SI,"VILLA 72, CITE DJILY MBAYE, DAKAR, Sénégal",221 301 193 365,
BURGER,,"10, Rue Ramez, Bourgi, Dakar, Sénégal",77 639 34 65,
BUSINESS DEVELOPPEMENT AGROALIMENTAIRE,calcaire,"villa z/132, HLM, Mariste, Dakar, Sénégal",77 884 86 14/77 645 89 17,stambusiness@gmail.com
BUSINESS LINK GROUP,,"COMMUNE SALY PORTUDAL, QUARTIER SALY NIAKH 
NIAKHAL, Sénégal",776390201,
C&A BUILDING,,"Golf , Cité Aliou SOW, Villa 491, Dakar, Sénégal",33 855 36 21,
C.G.B.S SARL SERVICES,,,,777104030 cgassama@gmail.com
C.S.C TRADING SASU,,"Villa 126, Sicap Foire, Dakar",775328809,
CABIT ENTREPRISES SA,argile,"Allées Seydou Nourou Tall, Villa n°4313, Point E, Dakar, 
Sénégal",33 825 65 15,
CAD LOGISTICS SARL,,"Rue11, Allée Seydou Nourou Tall, Immeuble HAJJAR 1ere 
étage, Dakar, 1170 DKR, Sénégal",33 864 33 77,
CAMISEN,,"5, Avenue Colbert x Place de l'Indépendance, Immeuble 
Air Afrique, Dakar, 23593, Sénégal",33 822 38 71,
CAREX SA,,"5, Cité des Maristes, Hann, Dakar, BP 2247, Sénégal",33 832 57 80,
CARMISEN,,,33 860 74 44,carmisen.senegal@yahoo.com
CARNEGIE CORPORATION LTD,,,,
CARNEGIE CORPORATION LTD/ASTRON,,"Dakar, 25884, Sénégal",,338676076 harmony@orange.sn
CARNEGIE/ASTRON,,"8 Route du Méridien, Appt 5, Almadies, Dakar, BP. 25884, 
Sénégal",338677616/33 867 60 76,harmony@orange.sn
CARREFOUR IMMO SERVICES-SUARL,,"Parcelles Assainies, Unité 10, Keur Massar n10, Dakar, 
Sénégal",77 410 20 51/77 306 37 61,assoubey@hotmail.com
CARRIERE - INDUSTRIE - MINES,,"BP 12007, Sénégal",,
CARRIERE ET SABLES,,"Villa 41, Cité Carrière, Thiès, Sénégal",951 22 17,
CARRIERE JONATHAN KHALIL,,"Rue Amadou DIEYE, Thiès, Sénégal",77 144 30 98,
CARRIEREC.T.G,,,,
CASA BAMBA,,"6 PATTE D'OIE BULLDERS , DAKAR, Sénégal",773158938,
CASE D'OR,or,"93 rue amadou assane Ndoye, 776383787, 
asscasedor@.com, Dakar, Sénégal",77 638 37 87,
"CAYORIENNE DES TRANSPORTS, CARRIERES ET 
TRAVAUX PUBLICS",,"Liberté 6 Ext , lot n°18, Dakar, Sénégal","33 867 73 79/77 788 46 49/ 77 
526 52 71",cayortechno@orange.sn
CB SENEGAL SA,,"YOFF TOUNDOUP RYA, N°84, DAKAR, Sénégal",,
CCIA,,"N°32, Gomba, Kédougou, BP 39, Sénégal",,
CENTRAL SPARE PARTS (CSP),,"MBOUR 1, FACE POSTE DE SANTE THIES, THIES, BP 3239, 
Sénégal",33 954 16 69/ 77 623 53 54,
CENTRALE DE MATERIEL ET MATERIAUX SARL,,"Hann Mariste, L003-Rue H-B 431/n°445, Dakar, Sénégal",77 236 59 27,c2m@c2m.sn
CEPHOS INTERNATIONAL,,"88 Wood street, London ECV 7RS, UK, Angleterre",77 212 40 50,"amadousouleyman@hotmail.co
m"
CERAM,argile,"Sicap Liberté 6, Dakar, BP 16124, Sénégal",,
CERPIL SARL,,"VILLA 5006, Sicap Liberté 4, Dakar, Sénégal",783027418,
CHALLENGE NORD -SUD INTERNATIONAL SAS,,"BLV DE L'EST X AVENUE CHEIKH ANTA DIOP POINT E/123, 
DAKAR, Sénégal,IMMEUBLE SEYDI DJAMIL RUE LEO",77 638 59 84/336 68 45 19 54,
CHALLENGERS ASSOCIATES SARL,silicium,"Hermés, Cité Keur Gorgui, Dakar",77 644 34 75/ 77 614 97 19,
CHEIKH KANE TRANSPORTEUR SAU,,"Km 24, Route de Rufisque, Dakar, 163, Sénégal",,
CHEIKH TRANSPORT CARRIERE,,"Parcelle n°04, Arafat 1, Rufisque, Dakar, Sénégal",77 536 16 91,
CHESSER SAU,,"Rue F x 2 BIS, Point E, BP64688, 10700 Dakar-Fann, 
Sénégal",77 753 44 59,"smcdonald@chesserresources.c
om.au"
CHIALI SERVICES AFRIQUE DE L'OUEST,,"Lot 449 - 450 Zone Industrielle, Sidi-Bel-Abbès, , 22000, 
Algérie","77 835 35 10/ 00 213 (0) 48 70 
33 22 / 33 11",info@groupe-chiali.com
"CHINA GEO ENGINEERING CORPORATION 
INTERNATIONAL SENEGAL SA",,"Route de la Corniche, Coté Société, Ouakam, Dakar, 
Sénégal",33 820 35 55,
CHINA INTERNATIONAL WATER & ELECTRONIC CORP,,,77 694 69 27,
CHINA ROAD BRIDGE AND COORPORATION SENEGAL,,"Rue F, angle David Diop, Fann Résidence, Dakar",33 869 07 51,ageroute@ageroute.sn
CIMAT,,"km7, route de Rabat, AÏN SABA, CASABLANCA, MAROC",+212 0 5 22 67 75 00,
CIMENTS DE L'AFRIQUE,calcaire,"Cité Emergence, Ex Gare routière Pompier, Dakar, 
Sénégal",,
CIMENTS DU SAHEL,calcaire,"km 23, Route de Rufisque",,
CIMSEN SARL,calcaire,"29 Avenue Pasteur, BP 6531-11524 Dakar Etoile, Dakar, 
Sénégal",,
CMD ENTREPRISE,,"5, Avenue Georges Pompidou, Dakar, Sénégal",,
COGEC,basalte,"rue Ahmadou Bamba, Dakar, BP 424, Sénégal",,
COLY MULTISERVICES,,"VILLA 164, CITE GUENTABA1, DAKAR, Sénégal",776486224/ 70 332 71 43,
COMICA,,"Rue 5 X Rue A Point E, Rufisque, Sénégal",,
COMMUNAUTE LAYENNE,,"Yoff, Diamalaye, Dakar, Sénégal",77 654 14 16,
"COMPAGNIE AFRICAINE DE NEGOCE ET 
D'EXPORTATION",,,,338248676 canex.prefab@gmail.com
"COMPAGNIE DE RECHERCHE ET D'EXPLOITATION 
MINIERE SARL",,"Immeuble Fallou LO, Cité Keur Gorgui, 5eme étage, Dakar, 
Sénégal",33 864 67 14,
COMPAGNIE DES ARGILES DU SAHEL,,"7, Avenue Jean Mermoz, Dakar, BP 5365, Sénégal",,
COMPAGNIE DES SABLES DU SENEGAL,,"lot 131, Ouakam Aéroport, Dakar, Sénégal",77 651 23 65,
"COMPAGNIE GENERALE D'EXPLOITATION DE 
CARRIERE",,"Km 23 route de Rufisque, Rufisque, Dakar, BP 96, Sénégal",33 839 87 27/ 33 836 33 88,
COMPAGNIE KHADIM RASSOUL,,"Villa 327, Unité, Parcelles assainies, Dakar, Sénégal",77 650 92 63/ 33 832 12 40,ckhadimourassoul@yahoo.fr
COMPAGNIE KHADIMOU RASSOUL (CKR) Sarl,,"3, rue de Reims, Dakar, Sénégal",776315223,
COMPAGNIE SAHELIENNE D'ENTREPRISE GRANULATS,dI,"ROCADE FANN BEL AIR, Dakar, BP 609, Sénégal",33 832 45 77/ 33 832 29 80,
COMPAGNIE SENEGALAISE DE TRAVAUX PUBLICS,,"Quartier Abattoirs, Tambacounda, BP28, Sénégal",33 832 51 22/ 77 637 27 33,
COMPAGNIE SENEGALAISE DES MINES,or,"12 Rue Jules Ferry, Dakar, BP : 1031 Dakar, Sénégal",,338226937 cs.mines@yahoo.com
"COMPAGNIE SENEGALO MAROCAINE 
D'INVESTISSEMENT",,"566, Cité Apecsy Yoff, Dakar, Sénégal",76 014 22 59/ 78 420 86 04,
COMPLEXE TOUBA KERE,,"villa n°1, HLM Route de Dakar, Sénégal",951 17 53,
COMPTOIR AURIFERE DE L'AFRIQUE,or,"Zac Mbao n°09, DAKAR, Sénégal",775652330/ 393284077505,bancoraf@gmail.com
COMPTOIR COMMERCIAL ABDOU DIENG SARL,,"n°2353, Touba Sandaga, Dakar, Sénégal",76 123 23 23,
COMPTOIR COMMERCIAL BALLA AICHA CCBA SUARL,,,,
COMPTOIR COMMERCIAL BAYE IBRA THIAW,,"Touba Guédé, Diourbel, Sénégal",77 654 72 93,
COMPTOIR COMMERCIAL CCBD suarl,,"Villa n°4, Route de Front de Terre, Dakar, Sénégal",70 520 96 42/ 77 632 53 91,ccbdsuarl@gmail.com
"COMPTOIR NUMISMATIQUE SERGE GUELLE 
KEDOUGOU",,"quartier Mosquée près du Marché central, Kédougou, 
Sénégal",77 774 89 67,
COMPTOIRE COMMERCIAL DAOUDA DIA SUARL,calcaire,"Quartier Liberté 6 extension Unité 13, Dakar, Sénégal",77 644 83 22,
CONDURIL ENGENHARIA SENEGAL,,"186 Avenue Lamine Gueye x rue Jcques Bugnicourt, 6 
ème étage, Dakar, Sénégal",338217490/339614225,conduril@conduril.sn
CONSORTIUM D'ENTREPRISES (CDE),dI,"BP 2384, Sénégal",33 839 59 59,
CONSORTIUM PETROMIR & PETROLINE,,"Immeuble PETROMIR 3625, Bld Martin Luther King, 
Corniche Ouest, Dakar, Sénégal",221775690436/ 221778480606,
"CONSORTIUM SENEGALAISE D' INDUSTRIE ET DE 
COMMERCE",basalte,"RUE 11X16 Médina , Dakar, Sénégal",77 518 41 67,cics.csic@gmail.com
"CONSORTIUM TENDER SA-TENDER AFRICA SARL-
PROSPECTIUNI SA",,"Cité Africa à Ouakam, Villa N°17, DAKAR, Sénégal",,
CONSULTING BUSINESS AGENCY Sarl,or,"SODIDA LOT 8, DAKAR, Sénégal",338422855,
COOPERATIVE D'HABITAT LA SAMARITAINE,,,77 545 28 72,
CORE MINERALS PTE.LTD,,"ICS, Km 18, Rte de Rufisque, BP 3835, Mbao, Sénégal",,
CSE GRANULATS,,"Rocade Fann Bel-Ail, Dakar, Sénégal",33 859 03 00,
CSE/SOSETER,,"ROCADE FANN BEL AIR, Dakar, BP 609, Sénégal",77 332 33 64,
CUBO 4 SARL,,,33 864 45 04/ 33 824 00 24,
CWE SENEGAL SUARL,,"N°13, Pyrotechnique Mermoz, DAKAR, Sénégal",778868091/ 778663537,arthurwxg@gmail.com
DABAKH TRANSPORT,,"Quartier Darou Salam, Rufisque, Lot n° 27, Dakar, Sénégal",77 632 62 10,
DAKAR POST HORIZON CORPORATION SAS,,"Cité Sonatel, , Liberté 6 Extension N°11 , Dakar, Sénégal",,775404530 madiyou@gmail.com
DAKAR-GUEYE GENERAL,,"Route des Niayes, Parcelle n° 7271 , Pikine , Dakar, 
Sénégal",,
DAMASH MINERALS LTD,"phosphate de 
chaux","8 Rte du Méridien Président, Almadies, Dakar, BP 11 241, 
Sénégal",33 820 16 52,
DAMOUNGHAYE SUARL,"sable de dune N° 282, Quartier Arafat III, Rufisque , Dakar, Sénégal",,77 145 33 30,
DANGOTE INDUSTRIES SENEGAL SA,,"4, rue ParchapeXMage, Immeuble Diannah, Dakar, 
Sénégal",33 852 26 35,ft.dangote@gmail.com
DANSOKHO,,"Résidence IMMOFRONT, Appt. 239. Avenue Cheikh Anta 
Diop - Fann- Dakar, Dakar, Sénégal",,
DARAY MAME LAMP CONSTRUCTION,,,77 393 93 62/ 77 876 12 72,
DAROU SALAM SARL,,,77151 55 55,
DEEJA IMMO SUARL,"sable de dune N°9, Fenetre MERMOZ MER, Dakar, Sénégal",,,
DELTA ENTREPRISE SUARL,,"150, Carrieres Thies, Rue CR 14, Thiès, Sénégal",33 951 28 86,
DELTA MINING,,"Villa N°21, Quartier Nimzatt, Thiès, Sénégal",221338674063/ 221775761531,
Dembelé,,"Bargny gare, Bargny, Sénégal",,
DEME SOLARIS INDUSTRIE,,"Ouakam, , Dakar, Sénégal",338603916/338603916,
DEMSEN,,"Bande verte, Lot n°5, VDN, Dakar, Sénégal",776739393,
DG MINING,,"km 16, route de rufisque, Dakar, 18.524 - BP 3527, 
Sénégal",33 879 85 86,sxp@orange.sn
DIAKHA GOLD MINES,or,"Boulevard du Général De Gaulle, Dakar, Sénégal",,
DIALLO IBRAHIMA,,"Malika, Quartier Ousmane Tall, kédougou, Sénégal",77 431 94 04,
DIAMALAYE MINES,,"Paki, Thies",77 644 40 03,
DIAMENTE TECHNOLOGIE,"sable de dune Villa N°6, Nord Foire, Dakar, Sénégal",,226 - 77 199 91 59,
DIAMINE TP,,"4! A Nord foire, Dakar, Sénégal",77 372 50 00,
DIAMON GOL PETROL SL SUARL,or,"Lawol Tamba, Kédougou, Sénégal",77 541 17 77,diamongolpetrol@gmail.com
DIAW MATAR,,"Ross Béthio, dagana, Saint Louis, Sénégal",77 648 94 73,
DIENABA ET JEAN SARL,,,+221 77 078 60 60,
DIENG & CO ENGINEERING SAS,Silicium,"Sotrac, Mermoz n° 135, Dakar, Sénégal",77 455 85 11,
DIENG FAMILY,sable de dune,,780159658/ 78 291 10 26,
DIEUF DIEUL TAWFEKH IMMO SARL,,"Diamniadio, Face de la Mairie, Pole Pout prés station 
essence, Dakar, Sénégal",77 640 08 95,
DIOM MULTI EXPLOITATION,"sable de dune 24, Cité Léopold Sédar Senghor, Thies, Sénégal",,77 384 02 84,
DIONDA SARL,,"Quartier Pont, Tambacounda, Sénégal",76 457 72 06,
DIOP,,"Rue 9, Bopp n° 280, Dakar, Sénégal",,
DIOR GOLD SUARL,,"VILLA 36, PA, U 21, DAKAR, Sénégal",77 645 92 60,
DIST LUB,,"71, Avenue Peytavin, Dakar, Sénégal",33 823 57 78,
DIYAN EXPLOITATION MINIERE SUARL,silicium,"31, Gibraltar, Dakar, Sénégal",77 639 83 18,
DJI GOLD COMPANY,,"N°29, Cité Sipres 2, Sud Foire, Dakar, Sénégal",33 824 51 18,
DMAR GESTION SARL AU,,"103, Avenue Peytavin, Dakar, Sénégal",,
DMS,,,338253045,
DOLY PRESTATION DE SERVICES EMERGENT SUARL,,"Lots N°11/X, Hann Maristes , Dakar, Sénégal",,
DOMAINE ECOLOGIQUE SARL,,"Dakar, BP 1223, Sénégal",33 825 06 81,
DORADO SUARL,,"4e Etage, Villa n°4, Ouest Foire, Cité Air Afrique Extension, 
Dakar, Sénégal",771903334/ 338201147,
EBONY AUSTRALIA TRADE & SERVICES (EATS),"phosphate de 
chaux","VILLA N°42, COMICO VDN, DAKAR, Sénégal",775766512/ 784469385,ebonyafrica2005@yahoo.fr
EBONY NATURAL RESOURCES - SUARL,,"N°9569, Sacré coeur 3, Dakar, Sénégal",338676076/ 776443832,ibadiaw68@gmail.com
ECAR SA,,"Dakar, Sénégal",,338215456 ecarsa@yahoo.fr
ECCOTRA SARL,,"Rue 3 X, Avenue Blaise Diagne, Dakar, Sénégal",33 946 11 08/ 33821,
ECOMINES SA,or,"Point E, Rue 33, Villa 4219, Dakar, Sénégal",774578117,
ECOTRA,,"Km 18, Route de Rufisque, Dakar",33 889 49 69,
ECOTRA SA,,"Rue 30 angle 35, Arrondissement C, Pole Urbain de 
Diamniadio, 4390, Sénégal",,
EDK Oil SA,,"78 M Cité des Magistrats, Lotissement CICES, Dakar, 
Sénégal",338207302,
EDS USA LLC,,"2711 Centerville Road, , Suite 400, Wilmington,, Delaware 
19808 USA",,
EEEMS,,"KM 11, ROUTE DE RUFISQUE, IMMEUBLE REDAT SPA, 
DAKAR, Sénégal","77 804 24 45/ 33 854 24 00/ 
777384738",
EEEMS Sarl,,"Sud Foire, Lot N°40, en face collège MIKADO, VDN, Dakar, 
Sénégal","771226094/ 774515123 / 
773524498",eeemsenegal@gmail.com
EIFFAGE,laterite,"Avenue Félix Eboue, Route des Brasseries, Dakar, Dakar, 
737, Sénégal",33 839 73 39,eiffage.senegal@eiffage.com
EMIS,,"4, Rue Béranger Ferraud, Dakar, Sénégal",,
